split,model,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp
dev,ssl_phone_logreg,13766,0.924379,0.26,0.83946,0.597397,0.940069,0.882593,0.568849,0.17867,0.3122,0.227273,0.727847,325,716,1494,11231
test,ssl_phone_logreg,50488,0.950206,0.26,0.899026,0.607632,0.96127,0.931254,0.582421,0.177966,0.28401,0.218817,0.744855,714,1800,3298,44676
