split,model,n_samples,positive_rate,predicted_class,accuracy,balanced_accuracy,precision,recall,macro_f1,auc,tn,fp,fn,tp
dev,majority_class,8788,0.952321,1,0.952321,0.5,0.952321,1.0,0.487789,0.5,0,419,0,8369
test,majority_class,45471,0.959952,1,0.959952,0.5,0.959952,1.0,0.489784,0.5,0,1821,0,43650
