split,model,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp
dev,enhanced_extra_trees,13766,0.924379,0.33,0.904838,0.61556,0.941586,0.956385,0.62643,0.340071,0.274736,0.303932,0.765609,286,755,555,12170
test,enhanced_extra_trees,50488,0.950206,0.33,0.925527,0.595192,0.959662,0.962063,0.597382,0.239766,0.228321,0.233904,0.714372,574,1940,1820,46154
dev,enhanced_hist_gradient_boosting,13766,0.924379,0.25,0.907163,0.631812,0.944061,0.956228,0.641893,0.36488,0.307397,0.333681,0.743972,320,721,557,12168
test,enhanced_hist_gradient_boosting,50488,0.950206,0.25,0.912058,0.599601,0.960268,0.946617,0.587905,0.198686,0.252586,0.222417,0.728368,635,1879,2561,45413
