split,model,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp
dev,enhanced_extra_trees,8788,0.952321,0.4,0.909422,0.563628,0.95847,0.945872,0.556233,0.143667,0.181384,0.160338,0.74971,76,343,453,7916
test,enhanced_extra_trees,45471,0.959952,0.4,0.886411,0.583783,0.967062,0.912761,0.545717,0.108614,0.254805,0.152306,0.673511,464,1357,3808,39842
dev,enhanced_hist_gradient_boosting,8788,0.952321,0.39,0.876878,0.57488,0.959864,0.908711,0.545454,0.116763,0.24105,0.157321,0.670641,101,318,764,7605
test,enhanced_hist_gradient_boosting,45471,0.959952,0.39,0.837875,0.572711,0.96649,0.860962,0.516948,0.07864,0.284459,0.123216,0.678104,518,1303,6069,37581
