split,model,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp
dev,fusion_logreg,13766,0.924379,0.13,0.895031,0.612902,0.941384,0.945305,0.615583,0.295547,0.2805,0.287827,0.757673,292,749,696,12029
test,fusion_logreg,50488,0.950206,0.13,0.92422,0.599216,0.960086,0.960166,0.599291,0.238645,0.238266,0.238455,0.747509,599,1915,1911,46063
dev,fusion_random_forest,13766,0.924379,0.56,0.892852,0.635538,0.945016,0.938703,0.630592,0.307282,0.332373,0.319335,0.763325,346,695,780,11945
test,fusion_random_forest,50488,0.950206,0.56,0.940877,0.561996,0.956213,0.982782,0.580734,0.300593,0.141209,0.192152,0.75026,355,2159,826,47148
