split,model,calibration,n_samples,positive_rate,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp
dev,feature_logreg,phone_group_threshold,8788,0.952321,0.870619,0.574995,0.959934,0.90178,0.542298,0.112311,0.24821,0.154647,0.631684,104,315,822,7547
test,feature_logreg,phone_group_threshold,45471,0.959952,0.867102,0.538468,0.963266,0.895716,0.513364,0.067595,0.181219,0.098463,0.623729,330,1491,4552,39098
dev,feature_logreg,target_phone_threshold,8788,0.952321,0.883477,0.579479,0.960271,0.915522,0.551743,0.126082,0.243437,0.166124,0.631684,102,317,707,7662
test,feature_logreg,target_phone_threshold,45471,0.959952,0.875635,0.522389,0.961855,0.906392,0.507566,0.058091,0.138386,0.081831,0.623729,252,1569,4086,39564
dev,feature_random_forest,phone_group_threshold,8788,0.952321,0.876764,0.561218,0.95847,0.910025,0.537389,0.105701,0.212411,0.141158,0.636209,89,330,753,7616
test,feature_random_forest,phone_group_threshold,45471,0.959952,0.877988,0.55782,0.964885,0.905865,0.527742,0.085059,0.209775,0.121039,0.645927,382,1439,4109,39541
dev,feature_random_forest,target_phone_threshold,8788,0.952321,0.905894,0.567444,0.958871,0.94157,0.556972,0.142105,0.193317,0.163802,0.636209,81,338,489,7880
test,feature_random_forest,target_phone_threshold,45471,0.959952,0.903807,0.538641,0.963139,0.935601,0.527346,0.084066,0.14168,0.105521,0.645927,258,1563,2811,40839
