model,threshold_level,threshold_key,phone_group,target_phone,threshold,dev_n_samples,dev_positive_rate,dev_balanced_accuracy,fallback_used
feature_random_forest,target_phone,NG,nasal,NG,0.41,156,0.929487,0.607646,0
feature_random_forest,target_phone,OW,vowel,OW,0.05,244,0.971311,0.492723,0
feature_random_forest,target_phone,OY,vowel,OY,0.38,15,0.933333,0.482759,1
feature_random_forest,target_phone,P,stop,P,0.69,196,0.959184,0.518428,0
feature_random_forest,target_phone,R,liquid,R,0.1,459,0.949891,0.564591,0
feature_random_forest,target_phone,S,fricative,S,0.52,568,0.984155,0.519136,0
feature_random_forest,target_phone,SH,fricative,SH,0.45,112,0.973214,0.693151,0
feature_random_forest,target_phone,SIL,silence,SIL,0.27,31,0.0,1.0,1
feature_random_forest,target_phone,T,stop,T,0.43,1027,0.967868,0.505947,0
feature_random_forest,target_phone,TH,fricative,TH,0.29,93,0.655914,0.680737,0
feature_random_forest,target_phone,UH,vowel,UH,0.45,129,0.922481,0.524291,0
feature_random_forest,target_phone,UW,vowel,UW,0.5,363,0.969697,0.561209,0
feature_random_forest,target_phone,V,fricative,V,0.2,239,0.966527,0.552587,0
feature_random_forest,target_phone,W,glide,W,0.33,453,0.962472,0.609217,0
feature_random_forest,target_phone,Y,glide,Y,0.05,167,0.994012,0.498498,0
feature_random_forest,target_phone,Z,fricative,Z,0.19,389,0.773779,0.67033,0
feature_random_forest,target_phone,ZH,fricative,ZH,0.29,6,0.666667,0.4,1
