split,model,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp
dev,fusion_logreg,8788,0.952321,0.18,0.966431,0.935899,0.994973,0.96965,0.850732,0.598101,0.902148,0.719315,0.982171,378,41,254,8115
test,fusion_logreg,45471,0.959952,0.18,0.896747,0.544436,0.963651,0.927423,0.528245,0.084922,0.16145,0.1113,0.596452,294,1527,3168,40482
dev,fusion_random_forest,8788,0.952321,0.46,0.995676,0.993195,0.99952,0.995937,0.976973,0.924276,0.990453,0.956221,0.999357,415,4,34,8335
test,fusion_random_forest,45471,0.959952,0.46,0.959952,0.5,0.959952,1.0,0.489784,0.0,0.0,0.0,0.754886,0,1821,0,43650
