split,model,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp
dev,ssl_phone_logreg,8788,0.952321,0.23,0.895767,0.641477,0.966454,0.922571,0.595975,0.188986,0.360382,0.247947,0.786344,151,268,648,7721
test,ssl_phone_logreg,45471,0.959952,0.23,0.91069,0.606427,0.968764,0.937182,0.575467,0.154747,0.275673,0.198223,0.7382,502,1319,2742,40908
