split,model,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp
dev,feature_logreg,13766,0.924379,0.52,0.601337,0.645001,0.959842,0.593556,0.471254,0.122944,0.696446,0.208994,0.705447,725,316,5172,7553
test,feature_logreg,50488,0.950206,0.52,0.622366,0.609243,0.967072,0.623817,0.446989,0.076502,0.59467,0.135564,0.650691,1495,1019,18047,29927
dev,feature_random_forest,13766,0.924379,0.59,0.659887,0.650651,0.957352,0.661532,0.501949,0.133923,0.639769,0.221483,0.708611,666,375,4307,8418
test,feature_random_forest,50488,0.950206,0.59,0.685133,0.620598,0.966982,0.692271,0.47741,0.085486,0.548926,0.147934,0.667458,1380,1134,14763,33211
