split,model,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp
dev,feature_logreg,8788,0.952321,0.48,0.650888,0.593391,0.965408,0.656948,0.454139,0.071775,0.529833,0.126424,0.631684,222,197,2871,5498
test,feature_logreg,45471,0.959952,0.48,0.643839,0.582945,0.969878,0.649141,0.440925,0.057886,0.516749,0.10411,0.623729,941,880,15315,28335
dev,feature_random_forest,8788,0.952321,0.74,0.522531,0.607616,0.971739,0.513562,0.397446,0.067354,0.701671,0.12291,0.636208,294,125,4071,4298
test,feature_random_forest,45471,0.959952,0.74,0.513118,0.604845,0.976181,0.505132,0.384813,0.056065,0.704558,0.103866,0.645927,1283,538,21601,22049
