split,model,calibration,evaluation_scope,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp,meets_min_precision,meets_min_recall,meets_plan_minimum
dev,plan_fusion_logreg,phone_group_threshold_plan_threshold,core_fricatives,2434,0.8788,0.41,0.841002,0.792644,0.958159,0.856475,0.715392,0.411877,0.728814,0.526316,0.85346,215,80,307,1832,1,1,1
test,plan_fusion_logreg,phone_group_threshold_plan_threshold,core_fricatives,8957,0.941498,0.41,0.85877,0.669948,0.963169,0.88379,0.598007,0.196062,0.456107,0.27424,0.75181,239,285,980,7453,0,0,0
dev,plan_fusion_logreg,phone_group_threshold_plan_threshold,core_stops,2563,0.966446,0.02,0.959423,0.513203,0.96731,0.991522,0.516906,0.125,0.034884,0.054545,0.695543,3,83,21,2456,0,0,0
test,plan_fusion_logreg,phone_group_threshold_plan_threshold,core_stops,9512,0.970984,0.02,0.968566,0.537419,0.973107,0.995128,0.556137,0.328358,0.07971,0.12828,0.72873,22,254,45,9191,0,0,0
dev,plan_fusion_logreg,phone_group_threshold_plan_threshold,core_nasals,1502,0.923435,0.069861,0.913449,0.526491,0.92726,0.983417,0.532051,0.258065,0.069565,0.109589,0.704182,8,107,23,1364,0,0,0
test,plan_fusion_logreg,phone_group_threshold_plan_threshold,core_nasals,5443,0.959581,0.069861,0.944516,0.540044,0.962761,0.980088,0.549257,0.174603,0.1,0.127168,0.721755,22,198,104,5119,0,0,0
dev,plan_fusion_random_forest,phone_group_threshold_plan_threshold,overall,13766,0.924379,0.46,0.91726,0.589644,0.937406,0.975639,0.613707,0.40613,0.20365,0.271273,0.763326,212,829,310,12415,1,0,0
test,plan_fusion_random_forest,phone_group_threshold_plan_threshold,overall,50488,0.950206,0.46,0.949374,0.529151,0.952984,0.995852,0.541677,0.441011,0.06245,0.109408,0.75026,157,2357,199,47775,1,0,0
dev,plan_fusion_random_forest,phone_group_threshold_plan_threshold,core_vowels,5496,0.930131,0.553653,0.878275,0.532338,0.934651,0.934468,0.532299,0.12987,0.130208,0.130039,0.663118,50,334,335,4777,0,0,0
test,plan_fusion_random_forest,phone_group_threshold_plan_threshold,core_vowels,20409,0.94473,0.553653,0.932922,0.516286,0.946461,0.9847,0.519161,0.154728,0.047872,0.073121,0.721883,54,1074,295,18986,0,0,0
dev,plan_fusion_random_forest,phone_group_threshold_plan_threshold,core_liquids,1002,0.891218,0.346195,0.894212,0.52987,0.897074,0.995521,0.530202,0.636364,0.06422,0.116667,0.733822,7,102,4,889,1,0,0
test,plan_fusion_random_forest,phone_group_threshold_plan_threshold,core_liquids,3407,0.930731,0.346195,0.930437,0.501803,0.930964,0.999369,0.486161,0.333333,0.004237,0.008368,0.745,1,235,2,3169,0,0,0
dev,plan_fusion_random_forest,phone_group_threshold_plan_threshold,core_fricatives,2434,0.8788,0.72,0.842235,0.831336,0.971014,0.845722,0.730315,0.422067,0.816949,0.556582,0.879605,241,54,330,1809,1,1,1
test,plan_fusion_random_forest,phone_group_threshold_plan_threshold,core_fricatives,8957,0.941498,0.72,0.866808,0.683166,0.964698,0.891142,0.610481,0.213368,0.475191,0.2945,0.773488,249,275,918,7515,0,0,0
dev,plan_fusion_random_forest,phone_group_threshold_plan_threshold,core_stops,2563,0.966446,0.778435,0.838861,0.596744,0.973829,0.856278,0.51721,0.075325,0.337209,0.123142,0.671576,29,57,356,2121,0,0,0
test,plan_fusion_random_forest,phone_group_threshold_plan_threshold,core_stops,9512,0.970984,0.778435,0.897183,0.62544,0.97878,0.913924,0.552517,0.10473,0.336957,0.159794,0.733233,93,183,795,8441,0,0,0
dev,plan_fusion_random_forest,phone_group_threshold_plan_threshold,core_nasals,1502,0.923435,0.47,0.922104,0.515228,0.925603,0.995674,0.51168,0.4,0.034783,0.064,0.682778,4,111,6,1381,1,0,0
test,plan_fusion_random_forest,phone_group_threshold_plan_threshold,core_nasals,5443,0.959581,0.47,0.958479,0.499426,0.959537,0.998851,0.4894,0.0,0.0,0.0,0.676696,0,220,6,5217,0,0,0
dev,ssl_phone_logreg,score_threshold_plan_threshold,overall,13766,0.924379,0.06,0.922054,0.505358,0.925131,0.996306,0.4933,0.241935,0.014409,0.027199,0.727848,15,1026,47,12678,0,0,0
test,ssl_phone_logreg,score_threshold_plan_threshold,overall,50488,0.950206,0.06,0.947512,0.520444,0.952155,0.994747,0.526742,0.315217,0.046142,0.0805,0.744855,116,2398,252,47722,0,0,0
dev,ssl_phone_logreg,score_threshold_plan_threshold,core_vowels,5496,0.930131,0.03,0.929949,0.502311,0.930432,0.999413,0.486986,0.4,0.005208,0.010283,0.674152,2,382,3,5109,1,0,0
test,ssl_phone_logreg,score_threshold_plan_threshold,core_vowels,20409,0.94473,0.03,0.94522,0.51111,0.945893,0.99917,0.508123,0.619048,0.02305,0.044444,0.716121,26,1102,16,19265,1,0,0
dev,ssl_phone_logreg,score_threshold_plan_threshold,core_liquids,1002,0.891218,0.19,0.863273,0.597085,0.911765,0.93729,0.607253,0.333333,0.256881,0.290155,0.769944,28,81,56,837,0,0,0
test,ssl_phone_logreg,score_threshold_plan_threshold,core_liquids,3407,0.930731,0.19,0.908424,0.589987,0.942981,0.959634,0.600617,0.288889,0.220339,0.25,0.766016,52,184,128,3043,0,0,0
dev,ssl_phone_logreg,score_threshold_plan_threshold,core_fricatives,2434,0.8788,0.03,0.8788,0.502922,0.879424,0.999065,0.474406,0.5,0.00678,0.013378,0.77158,2,293,2,2137,1,0,0
test,ssl_phone_logreg,score_threshold_plan_threshold,core_fricatives,8957,0.941498,0.03,0.941387,0.50889,0.94248,0.998696,0.503235,0.47619,0.019084,0.036697,0.750809,10,514,11,8422,1,0,0
dev,ssl_phone_logreg,score_threshold_plan_threshold,core_stops,2563,0.966446,0.04,0.966446,0.511224,0.967175,0.999193,0.513684,0.5,0.023256,0.044444,0.728904,2,84,2,2475,1,0,0
test,ssl_phone_logreg,score_threshold_plan_threshold,core_stops,9512,0.970984,0.04,0.969933,0.511761,0.971648,0.998159,0.515696,0.291667,0.025362,0.046667,0.747784,7,269,17,9219,0,0,0
dev,ssl_phone_logreg,score_threshold_plan_threshold,core_nasals,1502,0.923435,0.09,0.914115,0.510902,0.925,0.987022,0.5067,0.181818,0.034783,0.058394,0.706197,4,111,18,1369,0,0,0
test,ssl_phone_logreg,score_threshold_plan_threshold,core_nasals,5443,0.959581,0.09,0.95113,0.530428,0.961976,0.988129,0.54113,0.205128,0.072727,0.107383,0.739004,16,204,62,5161,0,0,0
