split,model,calibration,n_samples,positive_rate,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp
dev,feature_logreg,phone_group_threshold,13766,0.924379,0.874982,0.589709,0.938127,0.925815,0.583351,0.218543,0.253602,0.234771,0.705447,264,777,944,11781
test,feature_logreg,phone_group_threshold,50488,0.950206,0.911999,0.550381,0.95524,0.951995,0.548855,0.139709,0.148767,0.144096,0.650691,374,2140,2303,45671
dev,feature_logreg,target_phone_threshold,13766,0.924379,0.888421,0.615942,0.942008,0.936974,0.612533,0.276826,0.294909,0.285581,0.705447,307,734,802,11923
test,feature_logreg,target_phone_threshold,50488,0.950206,0.918674,0.54692,0.954855,0.959791,0.54916,0.14872,0.134049,0.141004,0.650691,337,2177,1929,46045
dev,feature_random_forest,phone_group_threshold,13766,0.924379,0.878832,0.615606,0.942174,0.925737,0.604962,0.251781,0.305476,0.276042,0.708612,318,723,945,11780
test,feature_random_forest,phone_group_threshold,50488,0.950206,0.904215,0.567016,0.95699,0.94151,0.557984,0.147112,0.192522,0.166782,0.667459,484,2030,2806,45168
dev,feature_random_forest,target_phone_threshold,13766,0.924379,0.885733,0.622426,0.943102,0.932652,0.615123,0.274958,0.3122,0.292398,0.708612,325,716,857,11868
test,feature_random_forest,target_phone_threshold,50488,0.950206,0.902591,0.556361,0.955909,0.940885,0.548883,0.132191,0.171838,0.149429,0.667459,432,2082,2836,45138
