phone_group,n_samples,gold_errors,predicted_errors,false_positives,false_negatives,true_negatives,true_positives,mean_proxy_gop_score,gold_error_rate,predicted_error_rate,false_positive_rate,false_negative_rate
vowel,18462,939,3245,2943,637,302,14580,0.6299917443938902,0.05086122846928827,0.17576643917235402,0.15940851478713033,0.034503304084064566
fricative,7999,309,82,71,298,11,7619,0.7407149542442806,0.038629828728591074,0.010251281410176272,0.008876109513689211,0.037254656832104015
nasal,4926,177,308,289,158,19,4460,0.6904728922046285,0.035931790499390985,0.06252537555826228,0.05866829070239545,0.03207470564352416
stop,8626,200,789,743,154,46,7683,0.8206662728958961,0.023185717597959656,0.09146765592395084,0.08613494087642012,0.017853002550428935
liquid,3011,152,54,51,149,3,2808,0.6879529023580205,0.05048156758551976,0.017934241115908335,0.01693789438724676,0.049485220856858185
glide,2124,34,13,12,33,1,2078,0.813618156779661,0.0160075329566855,0.006120527306967985,0.005649717514124294,0.015536723163841809
affricate,323,10,0,0,10,0,313,0.6963319504643963,0.030959752321981424,0.0,0.0,0.030959752321981424
